epoch,Ls,Lu,main_loss,train_psnr,val_psnr,val_psnr_eval,val_ssim_eval,lr
1,0.4704,1.3745,0.002262,12.796777,14.595898,14.6012,0.6531,0.0002
2,0.3084,2.2122,0.001684,14.896201,17.36629,17.4451,0.7598,0.0002
3,0.2431,2.5465,0.001205,16.266503,18.343833,18.4387,0.797,0.0002
4,0.2187,2.4568,0.001072,16.91713,18.348722,18.4625,0.8151,0.0002
5,0.207,2.1799,0.000882,16.946807,17.777039,17.867,0.8124,0.0002
6,0.1933,2.0979,0.00075,17.318743,18.753894,18.967,0.8257,0.0002
7,0.179,1.9144,0.000724,18.100148,18.638,18.9615,0.8279,0.0002
8,0.175,1.8283,0.000714,18.037949,19.106758,19.4365,0.8399,0.0002
9,0.1645,1.7909,0.000675,18.704943,19.036356,19.4421,0.8473,0.0002
10,0.1569,1.6788,0.000616,19.127353,18.609964,18.8337,0.8425,0.0002
11,0.1542,1.598,0.00051,19.171179,19.14649,19.4375,0.8496,0.0002
12,0.1486,1.6602,0.000542,19.349185,19.099817,19.5363,0.8524,0.0002
13,0.1458,1.6522,0.000578,19.559708,18.803783,19.1001,0.8529,0.0002
14,0.1458,1.5989,0.000553,19.459551,18.791176,19.1054,0.8563,0.0002
15,0.138,1.6742,0.000675,19.965121,18.496869,18.8189,0.8536,0.0002
16,0.1339,1.7759,0.000628,20.264347,19.081143,19.3498,0.8539,0.0002
17,0.1307,1.5305,0.000587,20.588738,19.264624,19.5683,0.8626,0.0002
18,0.132,1.525,0.000567,20.457465,19.778051,20.0802,0.8689,0.0002
19,0.1282,1.5069,0.000656,20.85677,19.304722,19.5925,0.8639,0.0002
20,0.1267,1.6063,0.000751,20.684958,19.308614,19.5582,0.8556,0.0002
21,0.1262,1.5123,0.000726,20.739731,19.884143,20.2062,0.8696,0.0002
22,0.1201,1.5397,0.00069,21.32481,20.050114,20.3077,0.8631,0.0002
23,0.119,1.6335,0.000699,21.386646,19.617814,19.8924,0.8662,0.0002
24,0.1199,1.4809,0.000687,21.285333,19.128225,19.3993,0.863,0.0002
25,0.1131,1.5718,0.000674,21.944883,19.696937,19.9934,0.8574,0.0002
26,0.1147,1.4355,0.000703,21.760788,20.388539,20.6017,0.8769,0.0002
27,0.1106,1.5618,0.000735,22.033145,20.127755,20.3866,0.8691,0.0002
28,0.1088,1.4105,0.000614,22.205259,20.383831,20.6079,0.8757,0.0002
29,0.1058,1.4247,0.000664,22.471885,20.532421,20.8355,0.8669,0.0002
30,0.1108,1.334,0.00062,22.174252,20.330245,20.5362,0.8788,0.0002
31,0.1089,1.4157,0.000712,22.204322,19.625525,19.7456,0.8689,0.0002
32,0.1075,1.2797,0.000704,22.320261,20.386533,20.6878,0.8684,0.0002
33,0.1072,1.3584,0.000851,22.265018,19.940187,20.2086,0.8757,0.0002
34,0.1047,1.3172,0.000759,22.590965,20.31063,20.5551,0.8772,0.0002
35,0.1013,1.3746,0.000794,22.962889,19.763752,19.9126,0.8756,0.0002
36,0.1018,1.4066,0.0008,22.742726,20.542622,20.6681,0.8779,0.0002
37,0.1018,1.3393,0.000829,22.59978,20.066658,20.223,0.88,0.0002
38,0.0991,1.2967,0.00074,23.089369,20.682018,20.7868,0.8814,0.0002
